"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_act_il","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","revol_bal_joint","sec_app_earliest_cr_line","sec_app_inq_last_6mths","sec_app_mort_acc","sec_app_open_acc","sec_app_revol_util","sec_app_open_act_il","sec_app_num_rev_accts","sec_app_chargeoff_within_12_mths","sec_app_collections_12_mths_ex_med","sec_app_mths_since_last_major_derog","hardship_flag","hardship_type","hardship_reason","hardship_status","deferral_term","hardship_amount","hardship_start_date","hardship_end_date","payment_plan_start_date","hardship_length","hardship_dpd","hardship_loan_status","orig_projected_additional_accrued_interest","hardship_payoff_balance_amount","hardship_last_payment_amount","disbursement_method","debt_settlement_flag","debt_settlement_flag_date","settlement_status","settlement_date","settlement_amount","settlement_percentage","settlement_term"
"","","5000","5000","4975"," 36 months"," 10.65%","162.87","B","B2","","10+ years","RENT","24000","Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/22/11 > I need to upgrade my business technologies.<br>","credit_card","Computer","860xx","AZ","27.65","0","Jan-1985","1","","","3","0","13648","83.7%","9","f","0.00","0.00","5863.1551866952","5833.84","5000.00","863.16","0.0","0.0","0.0","Jan-2015","171.62","","Feb-2018","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","2500","2500","2500"," 60 months"," 15.27%","59.83","C","C4","Ryder","< 1 year","RENT","30000","Source Verified","Dec-2011","Charged Off","n","","  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike. I only need this money because the deal im looking at is to good to pass up.<br><br>  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike.I only need this money because the deal im looking at is to good to pass up. I have finished college with an associates degree in business and its takingmeplaces<br>","car","bike","309xx","GA","1","0","Apr-1999","5","","","3","0","1687","9.4%","4","f","0.00","0.00","1014.53","1014.53","456.46","435.17","0.0","122.9","1.11","Apr-2013","119.66","","Oct-2016","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","2400","2400","2400"," 36 months"," 15.96%","84.33","C","C5","","10+ years","RENT","12252","Not Verified","Dec-2011","Fully Paid","n","","","small_business","real estate business","606xx","IL","8.72","0","Nov-2001","2","","","2","0","2956","98.5%","10","f","0.00","0.00","3005.6668441393","3005.67","2400.00","605.67","0.0","0.0","0.0","Jun-2014","649.91","","Jun-2017","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","10000","10000","10000"," 36 months"," 13.49%","339.31","C","C1","AIR RESOURCES BOARD","10+ years","RENT","49200","Source Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/21/11 > to pay for property tax (borrow from friend, need to pay back) & central A/C need to be replace. I'm very sorry to let my loan expired last time.<br>","other","personel","917xx","CA","20","0","Feb-1996","1","35","","10","0","5598","21%","37","f","0.00","0.00","12231.890000000902","12231.89","10000.00","2214.92","16.97","0.0","0.0","Jan-2015","357.48","","Apr-2016","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","3000","3000","3000"," 60 months"," 12.69%","67.79","B","B5","University Medical Group","1 year","RENT","80000","Source Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/21/11 > I plan on combining three large interest bills together and freeing up some extra each month to pay toward other bills.  I've always been a good payor but have found myself needing to make adjustments to my budget due to a medical scare. My job is very stable, I love it.<br>","other","Personal","972xx","OR","17.94","0","Jan-1996","0","38","","15","0","27783","53.9%","38","f","0.00","0.00","4066.9081610817","4066.91","3000.00","1066.91","0.0","0.0","0.0","Jan-2017","67.3","","Jan-2017","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","5000","5000","5000"," 36 months","  7.90%","156.46","A","A4","Veolia Transportaton","3 years","RENT","36000","Source Verified","Dec-2011","Fully Paid","n","","","wedding","My wedding loan I promise to pay back","852xx","AZ","11.2","0","Nov-2004","3","","","9","0","7963","28.3%","12","f","0.00","0.00","5632.209999999401","5632.21","5000.00","632.21","0.0","0.0","0.0","Jan-2015","161.03","","Feb-2017","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","7000","7000","7000"," 60 months"," 15.96%","170.08","C","C5","Southern Star Photography","8 years","RENT","47004","Not Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/18/11 > I am planning on using the funds to pay off two retail credit cards with 24.99% interest rates, as well as a major bank credit card with a 18.99% rate.  I pay all my bills on time, looking for a lower combined payment and lower monthly payment.<br>","debt_consolidation","Loan","280xx","NC","23.51","0","Jul-2005","1","","","7","0","17726","85.6%","11","f","0.00","0.00","10137.840007529006","10137.84","7000.00","3137.84","0.0","0.0","0.0","May-2016","1313.76","","Sep-2016","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","3000","3000","3000"," 36 months"," 18.64%","109.43","E","E1","MKC Accounting ","9 years","RENT","48000","Source Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/16/11 > Downpayment for a car.<br>","car","Car Downpayment","900xx","CA","5.35","0","Jan-2007","2","","","4","0","8221","87.5%","4","f","0.00","0.00","3939.135293905698","3939.14","3000.00","939.14","0.0","0.0","0.0","Jan-2015","111.34","","Dec-2014","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","5600","5600","5600"," 60 months"," 21.28%","152.39","F","F2","","4 years","OWN","40000","Source Verified","Dec-2011","Charged Off","n","","  Borrower added on 12/21/11 > I own a small home-based judgment collection business. I have 5 years experience collecting debts. I am now going from a home office to a small office. I also plan to buy a small debt portfolio (eg. $10K for $1M of debt) <br>My score is not A+ because I own my home and have no mortgage.<br>","small_business","Expand Business & Buy Debt Portfolio","958xx","CA","5.55","0","Apr-2004","2","","","11","0","5210","32.6%","13","f","0.00","0.00","647.5","647.50","162.02","294.94","0.0","190.54","2.09","Apr-2012","152.39","","Oct-2016","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","5375","5375","5350"," 60 months"," 12.69%","121.45","B","B5","Starbucks","< 1 year","RENT","15000","Verified","Dec-2011","Charged Off","n","","  Borrower added on 12/16/11 > I'm trying to build up my credit history. I live with my brother and have no car payment or credit cards. I am in community college and work full time. Im going to use the money to make some repairs around the house and get some maintenance done on my car.<br><br>  Borrower added on 12/20/11 > $1000 down only $4375 to go. Thanks to everyone that invested so far, looking forward to surprising my brother with the fixes around the house.<br>","other","Building my credit history.","774xx","TX","18.08","0","Sep-2004","0","","","2","0","9279","36.5%","3","f","0.00","0.00","1484.59","1477.70","673.48","533.42","0.0","277.69","2.52","Nov-2012","121.45","","Dec-2016","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","6500","6500","6500"," 60 months"," 14.65%","153.45","C","C3","Southwest Rural metro","5 years","OWN","72000","Not Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/15/11 > I had recived a loan from Citi Financial about a year ago, I was paying 29.99 intrest, so the refinance is to cut that rate since cleaning up my credit I have been paying everything on time as shown on my credit report<br>","debt_consolidation","High intrest Consolidation","853xx","AZ","16.12","0","Jan-1998","2","","","14","0","4032","20.6%","23","f","0.00","0.00","7678.0176729717","7678.02","6500.00","1178.02","0.0","0.0","0.0","Jun-2013","1655.54","","Aug-2017","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","12000","12000","12000"," 36 months"," 12.69%","402.54","B","B5","UCLA","10+ years","OWN","75000","Source Verified","Dec-2011","Fully Paid","n","","","debt_consolidation","Consolidation","913xx","CA","10.78","0","Oct-1989","0","","","12","0","23336","67.1%","34","f","0.00","0.00","13947.989155158899","13947.99","12000.00","1947.99","0.0","0.0","0.0","Sep-2013","6315.3","","Aug-2013","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","9000","9000","9000"," 36 months"," 13.49%","305.38","C","C1","Va. Dept of Conservation/Recreation","< 1 year","RENT","30000","Source Verified","Dec-2011","Charged Off","n","","  Borrower added on 12/15/11 > Plan to pay off 2 charge accounts. I will close one of them and ask for a credit line decrease from the other. Also borrowed money from a friend and would like to pay that off.......<br><br>  Borrower added on 12/17/11 > The credit card that I am asking to be decreased will be ONLY for emergency purposes.....<br>","debt_consolidation","freedom","245xx","VA","10.08","0","Apr-2004","1","","","4","0","10452","91.7%","9","f","0.00","0.00","2277.32","2277.32","1256.14","570.26","0.0","450.92","4.16","Jul-2012","305.38","","Oct-2016","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","3000","3000","3000"," 36 months","  9.91%","96.68","B","B1","Target","3 years","RENT","15000","Source Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/19/11 > I intend to pay this debt off within half the time allotted.Home-brewer investing in equipment, hopefully someday a brewpub owner with delicious beers to sell and locally grown produced meat and vegetables.So, this is my start, and thank you for lending! One day I will repay the favor and lend back<br>","credit_card","citicard fund","606xx","IL","12.56","0","Jul-2003","2","","","11","0","7323","43.1%","11","f","0.00","0.00","3480.2699994228","3480.27","3000.00","480.27","0.0","0.0","0.0","Jan-2015","102.43","","Apr-2017","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
